84,Polonium,2-8-18-32-18-6,Po,16,6,p,209,190 pm (135 pm),,Xe 6s2 4f14 5d10 6p4,4. 2,2,254,962,1
85,Astate,2-8-18-32-18-7,At,17,6,p,210,,,Xe 4f14 5d10 6s2 6p5,-1. 1. 3. 5. 7,2.2,302,,1
86,Radon,2-8-18-32-18-8,Rn,18,6,p,222,120 pm,,Xe 4f14 5d10 6s2 6p6,0,2.2,-71,-61.7,1
87,Francium,2-8-18-32-18-8-1,Fr,1,7,s,223,,,Rn 7s1,1,0.7,27,,1
88,Radium,2-8-18-32-18-8-2,Ra,2,7,s,226.0254,215 pm,,Rn 7s2,2,0.9,696,1736.85,1
89,Actinium,2-8-18-32-18-9-2,Ac,3,7,f,227,195 pm,,Rn 6d1 7s2,3,1.1,1050,3198,1
90,Thorium,2-8-18-32-18-10-2,Th,,7,f,232.03806,179 pm,,Rn 6d2 7s2,4,1.3,1750,4788,1
91,Protactinium,2-8-18-32-20-9-2,Pa,,7,f,231.03588,163 pm,,Rn 5f2 6d1 7s2,2. 3. 4. 5,1.5,1572,4026.85,1
92,Uranium,2-8-18-32-21-9-2,U,,7,f,238.02891,175 pm,186,,3. 4. 5. 6,1.7,,,1
93,Neptunium,2-8-18-32-22-9-2,Np,,7,f,237,155 pm,,Rn 5f4 6d1 7s2,6. 5. 4. 3,1.3,644,3999.85,1
94,Plutonium,2-8-18-32-24-8-2,Pu,,7,f,244.06,159 pm,,Rn 5f6 7s2,6. 5. 4. 3,1.3,640,3228,1
95,Américium,2-8-18-32-25-8-2,Am,,7,f,241.06,173 pm,,Rn 5f7 7s2,6. 5. 4. 3,1.3,1176,2011,1
96,Curium,2-8-18-32-25-9-2,Cm,,7,f,247,174 pm,,Rn 5f7 6d2 7s2,3,1.3,1345,3109.85,1
97,Berkélium,2-8-18-32-27-8-2,Bk,,7,f,247,170 pm,,Rn 5f9 7s2,3. 4,1.3,996,,1
98,Californium,2-8-18-32-28-8-2,Cf,,7,f,251,,,Rn 5f10 7s2,2. 3. 4,1.3,900,1469.85,1
99,Einsteinium,2-8-18-32-29-8-2,Es,,7,f,252,,,Rn 5f11 7s2,,1.3,859.85,,1
100,Fermium,2-8-18-32-30-8-2,Fm,,7,f,257,,,Rn 5f12 7s2,,1.3,1527,,1
101,Mendélévium,2-8-18-32-31-8-2,Md,,7,f,258,,,Rn 5f13 7s2,2. 3,1.3,827,,1
102,Nobélium,2-8-18-32-32-8-2,No,,7,f,259,,,Rn 5f14 7s2,,1.3,,,1
103,Lawrencium,2-8-18-32-32-8-3,Lr,,7,d,262,,,,,1.3,,,1
104,Rutherfordium,2-8-18-32-32-10-2,Rf,4,7,d,261,,,Rn 5f14 6d2 7s2,,,,,1
105,Dubnium,2-8-18-32-32-11-2,Db,5,7,d,262,,,Rn 5f14 6d3 7s2,,,,,1
106,Seaborgium,2-8-18-32-32-12-2,Sg,6,7,d,266,,,,,,,,1
107,Bohrium,2-8-18-32-32-13-2,Bh,7,7,d,264,,,,,,,,1
108,Hassium,2-8-18-32-32-14-2,Hs,8,7,d,269,,,,,,,,1
